goodreads_book_id,title,art,biography,business,chicklit,christian,classics,comics,contemporary,cookbooks,crime,ebooks,fantasy,fiction,graphicnovels,historicalfiction,history,horror,manga,memoir,music,mystery,nonfiction,paranormal,philosophy,poetry,psychology,religion,romance,science,sciencefiction,selfhelp,spirituality,sports,suspense,thriller,travel,youngadult,book_id
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3275
10,"Harry Potter Collection (Harry Potter, #1-6)",0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3753
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54
13,The Ultimate Hitchhiker's Guide to the Galaxy,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,337
21,A Short History of Nearly Everything,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,374
24,In a Sunburned Country,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1460
25,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1976
26,The Lost Continent: Travels in Small Town America,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2321
27,Neither Here nor There: Travels in Europe,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2279
28,Notes from a Small Island,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1449
29,The Mother Tongue: English and How It Got That Way,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4079
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
36,The Lord of the Rings: Weapons and Warfare,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4229
50,"Hatchet (Brian's Saga, #1)",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388
